"Region","Size","Cores","MemoryGB"
"malaysiawest","Standard_B2s","2","4"
"malaysiawest","Standard_F2","2","4"
"malaysiawest","Standard_F2s","2","4"
"malaysiawest","Standard_F2s_v2","2","4"
"malaysiawest","Standard_D2ls_v5","2","4"
"malaysiawest","Standard_D2lds_v5","2","4"
"malaysiawest","Standard_B2ls_v2","2","4"
"malaysiawest","Standard_B2als_v2","2","4"
"malaysiawest","Standard_D2ls_v6","2","4"
"malaysiawest","Standard_D2lds_v6","2","4"
"newzealandnorth","Standard_A2_v2","2","4"
"newzealandnorth","Standard_B2s","2","4"
"newzealandnorth","Standard_F2","2","4"
"newzealandnorth","Standard_F2s","2","4"
"newzealandnorth","Standard_F2s_v2","2","4"
"newzealandnorth","Standard_D2ls_v5","2","4"
"newzealandnorth","Standard_D2lds_v5","2","4"
"newzealandnorth","Standard_B2ls_v2","2","4"
"newzealandnorth","Standard_D2als_v6","2","4"
"newzealandnorth","Standard_D2alds_v6","2","4"
"newzealandnorth","Standard_F2als_v6","2","4"
"newzealandnorth","Standard_B2als_v2","2","4"
"newzealandnorth","Standard_D2ls_v6","2","4"
"newzealandnorth","Standard_D2lds_v6","2","4"
"newzealandnorth","Standard_D2pls_v6","2","4"
"newzealandnorth","Standard_D2plds_v6","2","4"
"canadacentral","Standard_D2ls_v6","2","4"
"canadacentral","Standard_D2lds_v6","2","4"
"canadacentral","Standard_D2nls_v6","2","4"
"canadacentral","Standard_D2nlds_v6","2","4"
"canadacentral","Standard_B2s","2","4"
"canadacentral","Standard_F2","2","4"
"canadacentral","Standard_F2s","2","4"
"canadacentral","Standard_A2_v2","2","4"
"canadacentral","Standard_F2s_v2","2","4"
"canadacentral","Standard_D2ls_v5","2","4"
"canadacentral","Standard_D2lds_v5","2","4"
"canadacentral","Standard_B2ls_v2","2","4"
"canadacentral","Standard_D2plds_v5","2","4"
"canadacentral","Standard_D2pls_v5","2","4"
"canadacentral","Standard_B2pls_v2","2","4"
"canadacentral","Standard_D2als_v6","2","4"
"canadacentral","Standard_D2alds_v6","2","4"
"canadacentral","Standard_F2als_v6","2","4"
"canadacentral","Standard_D2pls_v6","2","4"
"canadacentral","Standard_D2plds_v6","2","4"
"canadacentral","Standard_B2als_v2","2","4"
"austriaeast","Standard_A2_v2","2","4"
"austriaeast","Standard_B2s","2","4"
"austriaeast","Standard_F2","2","4"
"austriaeast","Standard_F2s","2","4"
